symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
BRCA2	0.9003764905257825	0.9419931386412669	0.8471158994391156	No data	0.8914232424866555	0.960634080223695	No data	0.43141841137745224	BRCA2 DNA repair associated
BRCA1	0.8984195395153679	0.9449217549547875	0.8693448233495202	No data	0.9432131413683666	0.9952704411667342	No data	0.49802770510524935	BRCA1 DNA repair associated
PIK3CA	0.8721619238032081	0.803029437991259	0.951460152733643	0.8482469503734306	0.9193860492699626	0.984156546448449	No data	No data	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
ESR1	0.8631027510085735	0.7656617211156973	0.8825287576581181	0.992615712681861	0.856352481552444	0.9952297140020869	No data	0.3479947868228322	estrogen receptor 1
ERBB2	0.8578320765895809	No data	0.9018428437221417	0.9895716377497482	0.9384861582919243	0.9985887950601152	No data	No data	erb-b2 receptor tyrosine kinase 2
TP53	0.8528774416731728	0.8642457396286167	0.9482670583888806	0.13678442946261474	0.8854252176641764	0.9902202585730385	No data	0.7734026771667074	tumor protein p53
CDH1	0.821586406420556	0.837346640825173	0.9041681355889651	No data	0.8728450540368247	0.9691554898667011	No data	No data	cadherin 1
AKT1	0.8182527697855645	0.5051561708248797	0.8957302286550913	0.6482799358891361	0.9046495186132151	0.9819522276302134	No data	No data	AKT serine/threonine kinase 1
PALB2	0.8070099811942574	0.8679704942950568	0.6893009908072479	No data	0.8493282943298344	0.8751316841397577	No data	No data	partner and localizer of BRCA2
CHEK2	0.8019240063674292	0.8555077332436705	0.6719968472055029	No data	0.9475493046633926	0.9416988501891235	No data	No data	checkpoint kinase 2
RAD51C	0.796727310096909	0.8805977162201545	No data	No data	0.9095618988667489	0.6536145755898153	No data	No data	RAD51 paralog C
BRIP1	0.7818263748338398	0.8353377570652248	0.8864035540953907	No data	0.9326485111500797	0.3690856564934979	No data	0.2616534152920417	BRCA1 interacting helicase 1
RAD51D	0.7771138814436898	0.8591045581613507	No data	No data	0.9089652610585701	0.5108668135982002	No data	No data	RAD51 paralog D
PTEN	0.7771105074998312	0.8458106067158927	0.8708447379834854	No data	0.9522464664167087	0.9763431396042429	No data	0.7520789706451665	phosphatase and tensin homolog
ATM	0.7686278188059739	0.8217720979257945	0.6382504693232516	No data	0.9721288826333171	0.9444291172833479	No data	0.6621088503699261	ATM serine/threonine kinase
POLE	0.7594367251766483	0.28895191553112537	0.6759868621472347	0.9707981588451263	0.8334267210607424	0.2542248386845597	No data	No data	DNA polymerase epsilon, catalytic subunit
CDK6	0.7547546705055598	No data	0.8699743018321302	0.9729724197198217	0.8469682157917556	0.3195469739508371	No data	No data	cyclin dependent kinase 6
MAP3K1	0.7530096233239393	0.6290892945906422	0.9159790624776241	No data	No data	0.49974103530475145	No data	No data	mitogen-activated protein kinase kinase kinase 1
POLD1	0.7468026616527423	0.2785700719367037	0.6246495686816421	0.9707981588451263	0.8334267210607424	0.5303149217232174	No data	0.5003000272878037	DNA polymerase delta 1, catalytic subunit
EGFR	0.7455191091002062	0.19453785523571876	0.5777791412300803	0.9589660868217931	0.8428758827865168	0.9917516281098308	No data	No data	epidermal growth factor receptor
BARD1	0.745399529591948	0.878470071923733	0.6978031094081049	No data	0.9432831222921076	0.8866112755941336	No data	0.26128865681347474	BRCA1 associated RING domain 1
CDK4	0.7326216646285139	No data	0.6227068933869035	0.9729724197198217	0.7956792758341029	0.9094861846858373	No data	No data	cyclin dependent kinase 4
GATA3	0.7312629890481939	No data	0.8191533042450811	No data	0.7653329864840401	0.8670594996900217	No data	No data	GATA binding protein 3
KMT2C	0.7305102629872425	No data	0.9162969709971527	No data	0.8606971057275346	0.6756954466949363	No data	No data	lysine methyltransferase 2C
ERBB4	0.7292138191437852	0.6377078586181342	0.7631164314954784	0.8573600871039977	0.9014391691909024	0.6414541996311564	No data	No data	erb-b2 receptor tyrosine kinase 4
MAP2K4	0.7196506199267645	No data	0.9067579593002215	No data	0.8702234819322152	0.1581941083410936	No data	No data	mitogen-activated protein kinase kinase 4
FGFR2	0.7191430356257624	0.8334791684646461	0.6659232220017769	0.1891739958226096	0.9054500162891016	0.8715242207472317	No data	No data	fibroblast growth factor receptor 2
TBX3	0.718574157625624	0.6737852039951966	0.8649544514936556	No data	0.2679959573035237	0.7551458020712778	No data	No data	T-box transcription factor 3
FOXA1	0.7124398406249686	No data	0.8937279427767384	No data	0.39414159780793506	0.8764800578150139	No data	No data	forkhead box A1
NBN	0.7087244563800073	0.7666534347096946	0.6909487624206722	No data	0.9518084804528564	0.08140417582263246	No data	0.5437749824174034	nibrin
NF1	0.7010722566090078	0.5497631694242311	0.8423349207638979	No data	0.9493681646083069	0.843300623547814	No data	0.5027435713548704	neurofibromin 1
CSF3R	0.6934915297605173	No data	0.6757741859284179	0.9680201616726203	No data	0.16997397022929775	No data	No data	colony stimulating factor 3 receptor
NCOR1	0.693285583721253	0.18237923928348632	0.8614508870272015	No data	0.9140210856029228	0.1763601821629139	No data	No data	nuclear receptor corepressor 1
RAD51B	0.6884274211478376	0.6277266994335164	0.8809271366743038	No data	0.8843278250703313	0.25275610828370776	No data	No data	RAD51 paralog B
ARID1A	0.687258969423215	No data	0.8460439030353232	No data	0.7737081923382467	0.7514077457785581	No data	No data	AT-rich interaction domain 1A
AR	0.6820714060046412	No data	0.8840288244172203	0.60975422976814	0.7970858590112524	0.9855078070947066	No data	0.5120763560901379	androgen receptor
GRIN2A	0.6786423556757255	No data	0.750027653186799	0.6383273374922022	0.9441498091971382	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 2A
MSH2	0.6781213295618588	0.7087295345447416	0.6940504501635887	No data	0.8199289732411768	0.5145070240925524	No data	0.6173484849829801	mutS homolog 2
NOTCH2	0.6770089938637154	0.4796413180010065	0.7521483319460328	No data	0.8295122987240197	0.37642125405337035	No data	No data	notch receptor 2
RB1	0.6757654570213505	No data	0.8375203669884957	No data	0.8823128644271819	0.9321506728931105	No data	0.5016425411325293	RB transcriptional corepressor 1
FANCC	0.6741945053226273	0.8491263884897441	0.846033149566494	No data	0.8199289732411768	0.22499856558938103	No data	No data	FA complementation group C
MSH6	0.6739680537847365	0.7137426035360402	0.7001778390862753	No data	0.5909845077151846	0.3821362915632042	No data	0.549196171531172	mutS homolog 6
